text,confidence
Exportateur: TomBHB Ref/105866,0.991477
Station: Frigo,0.968842
7697P,0.997320
20201,0.936470
Tr:20968,0.941577
GGN :4059883740172,0.979267
Tomate Ronde,0.979826
Calibre : 8(67-82) mm ALV 18,0.978186
Poids Net : 6kg,0.920321
Cat :1,0.889736
N°ONSSA :FLF.27.110.15,0.990074
ORIGINE MAROC,0.998954
O,0.458505
